id,error_type
73,VOTANOM
425,VOTANOM
463,VOTANOM
560,VOTANOM
575,VOTANOM
584,VOTANOM
611,VOTANOM
624,VOTANOM
864,VOTANOM
978,VOTANOM
979,VOTANOM
982,VOTANOM
991,VOTANOM
992,VOTANOM
1003,VOTANOM
1064,VOTANOM
1066,VOTANOM
1213,VOTANOM
1218,VOTANOM
1577,VOTANOM
1587,VOTANOM
1642,VOTANOM
1731,VOTANOM
1747,VOTANOM
1925,VOTANOM
1929,VOTANOM
1940,VOTANOM
1942,VOTANOM
1958,VOTANOM
1963,VOTANOM
1966,VOTANOM
1973,VOTANOM
1981,VOTANOM
1996,VOTANOM
2018,VOTANOM
2028,VOTANOM
2031,VOTANOM
2033,VOTANOM
2047,VOTANOM
2065,VOTANOM
2067,VOTANOM
2152,VOTANOM
2155,VOTANOM
2274,VOTANOM
995,VOTANOM
4395,VOTANOM
4421,VOTANOM
4979,VOTANOM
4980,VOTANOM
4981,VOTANOM
